content,sentiment
"Con Santiago Taboada junto a miles de vecinas y vecinos que quieren que siga el cambio en Álvaro Obregón y la #CDMX. ¡Vamos a echarle #MásLimón porque #ElCambioViene! 

#LiaLimon #LiaParaLaAlcaldia",POS
"🔵🔴🟡En #LaMagdalenaContreras recibimos a nuestro amigo Santiago Taboada, ¡Vamos a ganar! Vamos a seguir haciendo que lo bueno se quede por las familias Contrerenses.
#JuntosSigamosTrabajando",POS
"Así los ""feministas"" del PAN: @STaboadaMx se reúne con la familia de Cuauhtémoc Gutiérrez, ex dirigente priista de la #CDMX y detenido por el delito de trata de personas. https://t.co/yYZ1TxbGWg https://t.co/QiDTjDYFby",NEG
Durante toda la campaña de 2018 en Benito Juárez me hostigaron provocadores del imbecil @STaboadaMx incluso llegaron a ir a mi casa y molestar a mi familia. Lo denuncié ante el @iecm y no movieron un dedo. Hubo total impunidad. Son delincuentes en lo electoral y en el gobierno.,NEG
"🐜💙Acompáñanos desde el Jardín Hidalgo a nuestro arranque de campaña por la Alcaldía de Azcapotzalco en donde nos acompaña nuestro próximo Jefe de Gobierno Santiago Taboada.

#Azcapotzalco 
#VamosPorMás
#ElCambioViene",POS
"Este #DíaMundialdelaSalud, recordemos: la salud es un derecho esencial. Ante retos como el fin del Seguro Popular, la falta de medicinas y tratamientos contra el cáncer, Xóchitl Gálvez Ruiz y Santiago Taboada regresarán el acceso y calidad en la salud. #ElCambioViene #MásLimón 🩺🍋 #LiaLimon #CDMX #Mexico",POS
"Nuestras colonias en Tlalpan requieren de acciones contundentes y atención prioritaria por eso de la mano de @STaboadaMx y @alfagonzalezm vamos a garantizar seguridad y acceso al agua.

El cambio viene a FLORESTA, PRADO, VERGEL COAPA y NARCISO MENDOZA a quien les he dado mi… https://t.co/XRixwtbKTs",POS
"Que la alcaldía Benito Juárez este en primer lugar de competitividad e Iztapalapa en décimo, dice todo de cómo queremos ver a la #cdmx y no es con Brugada sino con @STaboadaMx https://t.co/hVg65B1wQS",POS
"Hace campaña con la campana de la basura!

El panista @Ordonez_Mx estuvo cerca de mi casa. 

Y dijo que le copiará al líder del cártel inmobiliario, @STaboadaMx, un programa llamado Blindar Benito Juárez, pero que él lo ""adaptó” para @IztacalcoAl

Oiga al candidato plagiario! https://t.co/gWbUHJBKsO",NEG
"Asi recibimos a Santiago Taboada, próximo Jefe de Gobierno, en Álvaro Obregón #MasLimon #ElCambioViene",POS
"Agradezco la invitación y el apoyo de los vecinos del Mercado de Portales y el Mercado 24 de agosto

Los visitamos con @STaboadaMx, @cynthialopezc1, @juarezveromex, @LuisMendozaBJ, @MonicaAranaS27, @MarianaRiveraMX, @EDGARPEREYRA, @patybaezg, @MonsePCedeno y @DoraisaGonzlez https://t.co/PbmcDZIFuE",NEU
"@STaboadaMx Yo he vivido en @Alc_Iztapalapa y se que usted si hará la diferencia. No como @ClaraBrugadaM que  es incapaz atender temas de seguridad e infraestructura urbana. 

Av. Tlahuac siempre inundada en temporada de lluvia. Esto durante más de 9 años... https://t.co/nougxPZ6qs",POS
"#ULTIMAHORA

El delincuente Santiago Taboada se reúne con la hermana de Cuauhtémoc Gutiérrez de la Torre, Norma Gutiérrez de la Torre. ¡El rey de la Basura!

Antes se habia reunido con otro delincuente Hugo Bello Valenzo acusado de extorsión, robo , amenaza,etc . https://t.co/OM2iSd4huS",NEG
"Santi y la hermana del #reydelabasura Cuauhtémoc Gutiérrez 🤢🤮
Me ""encanta* el feminismo y la eterna congruencia de los panistas @STaboadaMx 
#ElCarteldeTaboada https://t.co/mIFycQKG6Q",NEG
"@E_Esperanza_ @STaboadaMx @BJAlcaldia @GobCDMX @JorgeGCastaneda Yo también escribo desde la del valle y tengo la certeza de que serás el siguiente jefe de gobierno. Yo no quiero una ciudad como iztapalapa.  Morena convirtió la cuauhtemoc en un tianguis cuando ""gobernó "" el corrupto @RicardoMonrealA . No gracias, así estamos bien en BJ",POS
"Escandaloso y preocupante que los principales operadores de @STaboadaMx sean las personas más cercanas y operadores de Cuauhtémoc Gutiérrez De la Torre. Apenas subió una fotografía con su hermana, cómplice de la red.  https://t.co/9mO2sDWfTs https://t.co/jck7uWjO6g",NEG
"#LasMangasDelChaleco El candidato Santiago Taboada se comprometió a duplicar los recursos de los programas sociales en la alcaldía Cuauhtémoc. https://t.co/eCResoptwO
https://t.co/zJvU29sfPa",NEU
"Cerramos el día con esta foto 😍

Seguimos caminando y recorriendo #BenitoJuárez con nuestro próximo alcalde @luismendozabj. 🫡

Agradecemos a todo el team de la #CDMX que hoy nos acompañó, sin duda #ElCambioViene y es con @staboadamx. 💙💪 https://t.co/1EjEdCn1sI",POS
"🌾 Hoy nuestro próximo Jefe de Gobierno @STaboadaMx y el equipo que ganará en Tlalpan liderado por @alfagonzalezm, @HectorHugoHdez y @Luis_Chavez_Gar, se reunieron con Núcleos Agrarios. 

✅ Estamos felices porque cada día se unen más personas y organizaciones al proyecto del… https://t.co/3KqZzMIAz5",POS
"@catrina_nortena @ClaraBrugadaM @STaboadaMx @PollsMX_ Eso solo puede significar 1 de 2 o ambas cosas: 
1-Clara bajo el ritmo y no está visitando a todos, o
 2- el pan está intensificando sus encargo$$$ en  sus encuestas en Benito Juárez que es donde radican casi todas las encuestadoras",NEU
"El mejor termómetro para medir unas elecciones es salir a la calle a descubrir qué es lo que necesita la gente. Va más allá de las encuestas.  
#Tlalpan
#CDMX
#ElCambioViene
Vota #XochitlGálvez
Vota #SantiagoTaboada 
Vota #Alfa González
Vota #HéctorHugo
#Seguridad #Cablebús https://t.co/Fu3OHPaQIS",POS
@STaboadaMx @BJAlcaldia @GobCDMX sabias que cuando estabas de alcalde en Benito juarez #RaTaboada desviste haber dado el presupuesto asignado a manteniendo y reparaciones de suministros de agua de la.añcaldia y la pregunta del millón que le hicieron a ese presupuesto #perovivimoensuiza #CartelinmobiliarioDeIPAN,NEG
"@FreddyOliviery @Claudiashein @XochitlGalvez Depende en qué lugar de la CDMX. Yo en Benito Juárez tengo muy buena calidad de vida gracias a Santiago Taboada, a diferencia de Iztapalapa o Tláhuac por ejemplo ... Y no me salgan con que soy riquilla, yo soy pueblo",POS
@Jaime_Mata_S @Congreso_CdMex @BJAlcaldia @STaboadaMx @LuisMendozaBJ @JorgeRoHe @Ruben_RamHer @patybaezg @DanyAlvarezca @luisag_urena @ConcejalKarlaMS @gabysalido @FDoringCasar Hola por favor urge revisen el tema del agua 😰😰😰😰😰 el problema es serio y @SacmexCDMX debe agilizar esto 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,NEU
@VillaDeCortesBJ @FedeChavezMX @LuisMendozaBJ Se notó mucho en pasado evento (jueves) en Narvarte poniente. También estuvo @STaboadaMx pero apoyaron a una candidata del PRI y no del pan.,NEU
@STaboadaMx @BJAlcaldia @GobCDMX Que te quejas #weritocagon si son los edificios que hiciste cuando estabas robando en la alcaldía Benito Juárez es lo que dejaste muchos edificios construidos y vas a dejar hacer más cuando seas jefe de gobierno ojalá y pierdas #weritocagon,NEG
"@cruzli @psolisaqui @adricc20 @SacmexCDMX Hoy un restaurante reconoció que usa de garrafón.
La comida no sabía a gasolina.

Pero el corrupto de taboada @STaboadaMx no clausura un centro de llenado clandestino en Uxmal 562.
@Jaime_Mata_S 

@VillaDeCortesBJ https://t.co/IO5Ohv5CRp",NEG
"@PilarCamachoG @punt0cer0 @LuisMendozaBJ @GobCDMX @SacmexCDMX @martibatres No minimizo.el hecho, pero cada vez me suena más a sabotaje, que el capo Mendoza y el taradete de @STaboadaMx estén metidos, me hace sospechar.  Y las cuentas que denuncian también son sospechosas. 
Éstas son nuestras teorías: https://t.co/z8c1jTg8Sk",NEG
ya viste que ricardo Anaya es santiago taboada con peluca y también es marko cortes con injerto de barba ??? es el mismo demonio.....,NEG
Ya ven como la @BJAlcaldia si tiene capacidades para actuar en materia de suministro de agua y mantenimiento de infraestructura... Que dé la cara @STaboadaMx del estado en qué dejó su marranero en nuestra Alcaldía,NEG
"@STaboadaMx si de verdad quieres hacer algo Bueno despejas todas las calles del df no solo de está delegación de Tlalpan o Coyoacán que el corrupto de Giovanni gtz tiene toda la delegación igual o peor llena de ambulantes , hasta el centro de Coyoacán",NEG
"@STaboadaMx Buenos días para ti Lic Taboada jefe de gob del df , yo sólo te pido porfavor qué cuando empiezes a gobernar está cd tan destruida acuérdate de quitar tantos puestos ambulantes que hay aquí en la delegación de Tlalpan son décadas así",POS
@JorgeRoHe @STaboadaMx @MarkoCortes @lialimon Tercia de ratas la ratota mayor cartel inmobiliaria de la Benito Juárez y el que se dejá mangonear por Lalito del PRI,NEG
"@VillaDeCortesBJ @FedeChavezMX @LuisMendozaBJ @STaboadaMx Es gente de @JorgeRoHe desde hace muchos años, pegado a él desde que fue delegado.",NEU
"@Seg_NapolesDF @FedeChavezMX @LuisMendozaBJ @STaboadaMx Interesante. 
Fede debe de deslindarse de ese grupo ya, confesar sus errores y denunciar al #CártelInmobiliario.",NEG
"@pagolamx @LaPekas @STaboadaMx @BJAlcaldia @ClaraBrugadaM Todo benito juarez es panista, morena es la farsa más grande de la historia, puros solovinos",POS
"@OTTO_JimV @Coparmex @sesnsp @CONAPO_mx @STaboadaMx Benito Juárez, Quintana Roo, donde gobierna Morena",NEU
@Coparmex @sesnsp @CONAPO_mx Benito Juárez? ¿Dónde gobernaba @STaboadaMx?,NEU
La alcaldía Benito Juárez es un ejemplo de lo que será la CDMX cuando la gobierne ⁦@STaboadaMx⁩ yo soy ASPIRACIONISTA y espero que alguien como yo que aspire a que México progrese y prospere impulse a mi ciudad y a mi país. https://t.co/8Y9yPfMMsM,POS
@ajbenitojuarez @mauyoav @LuisMendozaBJ @Pbn477933867871 @bren_garciarr @carlaguionbajop Que pena que tipos como @mauyoav vayan a invadir BEnito Juárez. Otro arrastrado más de @STaboadaMx y aparte acosador de chavitos 🤡,NEG
Promesas incumplidas de @STaboadaMx,NEG
"@VillaDeCortesBJ @punt0cer0 @LuisMendozaBJ @GobCDMX @SacmexCDMX @martibatres @STaboadaMx Esto mismo ha pasado por mi cabeza porque si, sospechosas las cuentas que hablan de eso … pero para mi la mas clara es que no se ha hecho viral, nadie pela a la cuenta de la Del Valle- con un tema así se me hace rarísimo",NEU
"https://t.co/0om2ML5vPf

Bola de corruptos
Ya clausuren este centro de llenado Pirata de BONAFONT @BonafontMexico 
@LuisMendozaBJ @STaboadaMx @Jaime_Mata_S @AAtaydeR @FedeChavezMX @FDoringCasar 

@Rob_Bee_Gee @zorrocdmx1963 @VillaDeCortesBJ @AdolfoPrietoVec @SGIRPC_CDMX",NEG
@erikannibal @PAN_CDMX @LuisMendozaBJ @AAtaydeR @patybaezg @STaboadaMx @XochitlGalvez @SistemaPANCDMX Muchas gracias! Con su apoyo vamos a ganar! #TiempoDelCambio 🙌🏼,POS
"@STaboadaMx @BJAlcaldia @GobCDMX Será que rompieron algún ducto tus socios constructores LADRÓN DE CUELLO BLANCO?
SERÁ POR TANTA CONSTRUCCIÓN DE EDIFICIOS DE  DEPARTAMENTOS EN BENITO JUAREZ??
#ELCARTELINMOBILIARIO VIENTO EN POPA, MIENTRAS TODAS LAS CALLES LLENAS DE BACHES HDTPM!! #RATABOADA!",NEG
@BicireporteraDF @AlessandraRdlv Mas o menos se va con Taboada. Al final de cuentas son de los mismos partidos. ¿En serio van a hacer un segundo Sandra Cuevas en la Cuauhtemoc?,NEG
"@SantiagoRomanD7 @LuisMendozaBJ @martibatres @SacmexCDMX @GobCDMX A estas alturas exigir pruebas de diferentes laboratorios, al gobi3rno, yo ya no le creo naaada! Sorry
#MxSinMiedo 
🤔En @BJAlcaldia ..cuando ya vimos que son capaces de todo por desprestigiar al titular de la demarcación..@STaboadaMx ? Será?..
De qué mas serán capaces?",POS
"@BjRevocacion @STaboadaMx @LuisMendozaBJ Jajaja por estás cosas quedan como idiotas... El uso de suelo, no lo da la alcaldía, lo da seduvi.. que es parte del gobierno de CDMX y adivina quién controla estás dependencias... Morena con un simple amparo de que está en trámite. Funcionan jajaja",POS
"MÉXICO, MÉXICO, RA,RA,RA @MarkoCortes @TereJimenezE @_ATejeda @CeciliaPatronL  @STaboadaMx  @LuisMendozaBJ @mauriciotabe  @AleGutie
 @MaruCampos_G  @anuarazar  @PedroRVillegas @KarlaFiesco @RaymundoBolaos3  @makugo  @MauVila @JorgeRoHe @MauVila @LuisBNava  @RobertSosaP",POS
"@XicoteM @ClaraBrugadaM @STaboadaMx @vromog @MargaretSaldana @NancyNunezmx @889Noticias @inakimanero @VILLALVAZO13 @AzcapotzalcoMx @AlcaldiaMHmx @TodosSomosAzcap Hoy quite propaganda de la @STaboadaMx @Xochitl2024 y unas pinches gordas en una camioneta me ofendieron, por supuesto no me quedé callado y se fueron chillando las albóndigas huevonas.",NEG
"@sopitas ...Y quién gobierna en la alcaldía Benito Juárez??? 🤔🤔🤔 Claro, Santiago Taboada del PAN!!! #Rataboada",NEG
@STaboadaMx Santiago cuando estarás en la delegación Azcapotzalco?,NEU
"@STaboadaMx Ojalá tuviera el audio donde expresas claramente lo que opinas de la gente de Iztapalapa, Iztacalco, Xochimilco, Tláhuac... para ti no hay más que tus amigos, lástima que a esa reunión nos quitaron los celulares.",NEG
"@LuisMendozaBJ Luis, presiona con el tema de gasolina en el
Agua @SacmexCDMX no dice nada….y ya van 4 dias y continua el olor @STaboadaMx",POS
@FridaJGuillen @PAN_CDMX @STaboadaMx @AAtaydeR @luisag_urena @DanyAlvarezca @AlessandraRdlv @SistemaPANCDMX @CuauhtemocPan @AccionNacional Los jóvenes de la mano con la ciudadanía de la Cuauhtémoc.,POS
"@LuisMendozaBJ Y puede que pronto @LuisMendozaBJ  o @STaboadaMx manden matarme. 
Un atropellamiento en la bici, golpeadores del crimen organizado...
Pero, como dijo Gramsci, no lloren, organícense y saquen al PAN de BJ.
@FiscaliaCDMX @UlisesLaraLopez",NEG
"@STaboadaMx Le va arrancar el cuello..jajajaa tratenmelo ma bonito jajajjaa

Cuando estarán en la Cuauhtémoc y donde",POS
@craviotocesar @STaboadaMx @ImagenTVMex @PacoZeaCom Y tantos años y nonpiedieron desaparecer a los cárteles de Tepito o Tláhuac!!! Unas construcciones no matan. Los cárteles sí.,NEG
"@kenialopezr @XochitlGalvez @ferbelaunzaran @JLozanoA @STaboadaMx @MarkoCortes @SantiagoCreelM @maxcortazarl @LillyTellez @JTrianaT @cynthialopezc1 @JosefinaVM Así o más claro el papel de @AlvarezMaynez, ser el golpeador en contra de @XochitlGalvez y favorecer a la lagartija @Claudiashein",POS
@STaboadaMx @ClaraBrugadaM @ERuizCANCHA Se están cayendo los árboles en Benito Juárez y tu #BlindarBJ  no sirve para nada #ProteccionCivil menos @STaboadaMx https://t.co/twfq8cSIfx,NEG
@ClaraBrugadaM Y sigues con propuestas sin sentido. No entiendes que Benito Juárez no es Iztapalapa 🙄 eres necia no escuchas! En las últimas elecciones perdieron la mitad de la ciudad y ni así entienden. 🙄 serás la responsable de que un pinch€ criminal como Taboada gobierne.,NEG
"@MariaLuisaRubio @KanahuatiCDMX @STaboadaMx @LuisMendozaBJ Son los mismos de hoy.
Nada más te haces pendej4 tu solita y todos los chairas.
SON LOS MISMOS, sonsa https://t.co/4uDGPVfTMQ",NEG
"@SergioAl7 @LuisMendozaBJ Espero que si ya estamos hartos de esta situación, si no hace caso a medio de comunicación y a cerrar vialidades, gracias al cagadero que dejó taboada",NEG
"#ElecciónMx2024
En Campaña
‘cuando sales Organizado se Nota’
Vamos a GANAR 
#México🇲🇽 @XochitlGalvez 
Vamos a GANAR #CdMx @STaboadaMx 
Vamos aGANAR #BenitoJuárez @LuisMendozaBJ 
Vamos a GANAR #ÁlvaroObregón @lialimon 
Vamos a GANAR Dtto XVII MonyArana 
#BJconMony 
#ElCambioViene https://t.co/FZH60zmzM2",POS
@JorgeRoHe @STaboadaMx @MarkoCortes @lialimon Aquí 👇👇👇 los líderes del #CartelInmobiliarioDelPAN @AccionNacional  @JorgeRoHe @STaboadaMx y Marco Cortés,NEG
@STaboadaMx @BJAlcaldia @GobCDMX Pues la Benito Juárez es la misma alcaldía que tú estás haciendo tu cartel inmobiliario...deja de estar con tus pinches dramas y mentiras,NEG
"@Chertorivski @ClaraBrugadaM @STaboadaMx @iecm Acá en Benito Juárez , tapizado. https://t.co/omagYiuSdC",NEU
"@LuisMendozaBJ @martibatres @SacmexCDMX Ai te hablan taboada.. Y dice que uno de sus logros fue blindar benito juarez"".. Si eso es un programa de seguridad.",POS
@mima571130 @STaboadaMx @BJAlcaldia @GobCDMX Tu ni siquiera vives en benito juarez a cerrar el culo.,NEG
"@DuniaLudlow @Toripkt10 @STaboadaMx @BJAlcaldia @GobCDMX Aunque chilles como marrana y quieras pasarle una responsabilidad que le toca a sacmex a la delegacion, no van a ganar nada, nadie los quiere en benito juarez.",NEG
"@STaboadaMx @BJAlcaldia @GobCDMX Pregúntenle a @ClaraBrugadaM, ¡ella vive en la alcaldía Benito Juárez!",NEU
"@STaboadaMx @BJAlcaldia @GobCDMX Jamás en muchos años la Benito Juárez tuvo ningún problema hasta que ustedes vieron el mejor negocio #CartelinmobiliarioDeIPAN tu no hiciste literal ¡¡NADA!! Yo no veo a nadie quejarse de ¿contaminación? Escasez si.. Para variar, ratas, parques abandonados, baches por todos lados https://t.co/mQcqYQz3Xa",NEG
"@STaboadaMx Tu crees que sea posible convertir la alcaldía Iztapalapa en Benito Juárez?
Cómo lo harías?
Cuántos pisos de más le pondrías a lo que puedas edificar?
Es negocio para ti y los de tu partido las edificaciones y quitarle sus propiedades a los adultos mayores o no?",NEG
"@STaboadaMx @BJAlcaldia @GobCDMX Sabes Taboada, que te sigue la gente real? Por eso el PAN gobierna Benito Juárez",POS
Santiago Taboada exige al Gobierno de CDMX resolver quejas por agua con olor a gasolina en Benito Juárez https://t.co/nqNwE5hodp vía @El_Universal_Mx,NEU
Santiago Taboada exige al Gobierno de CDMX resolver quejas por agua con olor a gasolina en Benito Juárez https://t.co/nGUaezMiXi vía @El_Universal_Mx,NEU
"@PoderAG_BJ @tavodelsol @betotok @picusss @zprussian26 @jamonarosas @Pahua @ReportesBJ Puuuuuuuuuuuuuuuuuuum!

Oye 
@STaboadaMx 

@Jaime_Mata_S 

No sean corruptos.
Eso significa que este iletrado les da servicio a su corrupción",NEG
@STaboadaMx @BJAlcaldia @GobCDMX En Tláhuac ya tenemos la peor agua pero q mal que la gente diga q a no tener el vital  líquido aunque sea así,NEG
Santiago Taboada exige al Gobierno de CDMX resolver quejas por agua con olor a gasolina en Benito Juárez https://t.co/rjT7aXLk9e https://t.co/KmzrYMRwkB,NEU
Y si el agua con gasolina de la Benito Juarez es para correr a los extranjeros que tienen pieles más delicadas? Esque Taboada vive en el 2089 🔥,POS
"Aquí #SantiagoTajada con la hermana de Cuauhtémoc Gtz de la Torre,preso x el delito de trata de personas. 

Esto es lo que el #PAN quiere para nuestra ciudad,gobernar con el crimen organizado igual que en Guanajuato. 

NO lo permitiremos. 
NO #NarcoGobierno 

#ElCartelDeTaboada https://t.co/1glwrGKdRp",NEG
